,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
22852,"Their kids were hit in a car crash, four of them.",89,38_2012,4,4,27364,27414,,"{""Premise"": 12, ""O"": 1}",Premise,"Their kids were hit in a car crash, four of them.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1557.56,1561.72,NOT_FOUND
22853,"Two of them, Rob and Reed, were paralyzed.",89,38_2012,5,5,27414,27457,,"{""Premise"": 10, ""O"": 1}",Premise,"Two of them, Rob and Reed, were paralyzed.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1561.72,1564.84,NOT_FOUND
22854,The Romneys didn't know them.,89,38_2012,6,6,27457,27487,,"{""Premise"": 6, ""O"": 1}",Premise,The Romneys didn't know them.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1564.84,1565.72,NOT_FOUND
22855,They went to the same church; they never met before.,89,38_2012,7,7,27487,27540,,"{""Premise"": 10, ""O"": 2}",Premise,They went to the same church; they never met before.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1565.72,1567.48,NOT_FOUND
22856,Mitt asked if he could come over on Christmas.,89,38_2012,8,8,27540,27587,,"{""Premise"": 9, ""O"": 1}",Premise,Mitt asked if he could come over on Christmas.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1567.48,1569.88,NOT_FOUND
22857,"He brought his boys, his wife, and gifts.",89,38_2012,9,9,27587,27629,,"{""Premise"": 10, ""O"": 1}",Premise,"He brought his boys, his wife, and gifts.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1569.88,1574.96,NOT_FOUND
22858,"Later on, he said, ""I know you're struggling, Mark.",89,38_2012,10,10,27629,27681,,"{""Premise"": 15}",Premise,"Later on, he said, ""I know you're struggling, Mark.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1574.96,1577.8,NOT_FOUND
22859,Don't worry about their college.,89,38_2012,11,11,27681,27714,,"{""Premise"": 7}",Premise,Don't worry about their college.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1577.8,1578.84,NOT_FOUND
22860,"I'll pay for it.""",89,38_2012,12,12,27714,27732,,"{""Premise"": 7}",Premise,"I'll pay for it.""",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1578.84,1580.24,NOT_FOUND
22861,"When Mark told me this story, because, you know what, Mitt Romney doesn't tell these stories.",89,38_2012,13,13,27733,27827,,"{""Premise"": 20, ""O"": 1}",Premise,"When Mark told me this story, because, you know what, Mitt Romney doesn't tell these stories.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1580.24,1583.24,NOT_FOUND
22862,The Nixons told this story.,89,38_2012,14,14,27827,27855,,"{""Premise"": 5, ""O"": 1}",Premise,The Nixons told this story.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1583.24,1584.88,NOT_FOUND
22863,"When he told me this story, he said it wasn't the help, the cash help.",89,38_2012,15,15,27855,27926,,"{""Premise"": 18, ""O"": 1}",Premise,"When he told me this story, he said it wasn't the help, the cash help.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1584.88,1588.76,NOT_FOUND
22864,"It's that he gave his time, and he has consistently.",89,38_2012,16,16,27926,27979,,"{""Premise"": 12, ""O"": 1}",Premise,"It's that he gave his time, and he has consistently.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1588.76,1592.0,NOT_FOUND
22865,"This is a man who gave 30 percent of his income to charity, more than the two of us combined.",89,38_2012,17,17,27980,28074,,"{""Premise"": 21, ""O"": 1}",Premise,"This is a man who gave 30 percent of his income to charity, more than the two of us combined.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1592.0,1597.04,NOT_FOUND
22866,Mitt Romney's a good man.,89,38_2012,18,18,28074,28100,,"{""Claim"": 6, ""O"": 1}",Claim,Mitt Romney's a good man.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,1597.04,1598.24,NOT_FOUND
22867,He cares about 100 percent of Americans in this country.,89,38_2012,19,19,28100,28157,,"{""Claim"": 10, ""O"": 1}",Claim,He cares about 100 percent of Americans in this country.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,1598.24,1601.8,NOT_FOUND
22868,"And with respect to that quote, I think the vice president very well knows that sometimes the words don't come out of your mouth the right way.",89,38_2012,20,20,28157,28301,,"{""O"": 30}",O,"And with respect to that quote, I think the vice president very well knows that sometimes the words don't come out of your mouth the right way.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1601.8,1609.2,NOT_FOUND
22869,(LAUGHTER),89,38_2012,21,21,28302,28313,,"{""O"": 3}",O,(LAUGHTER),RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1939.28,1940.12,NOT_FOUND
22870,BIDEN: But I always say what I mean.,90,38_2012,0,0,28315,28352,,"{""O"": 10}",O, But I always say what I mean.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1613.92,1616.4,NOT_FOUND
22871,And so does Romney.,90,38_2012,1,1,28352,28372,,"{""O"": 5}",O,And so does Romney.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1616.4,1617.52,NOT_FOUND
22872,RYAN: We want everybody to succeed.,91,38_2012,0,0,28373,28409,,"{""O"": 3, ""Claim"": 5}",Claim, We want everybody to succeed.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,1617.52,1618.4,NOT_FOUND
22873,"We want to get people out of poverty, in the middle class, onto a life of self-sufficiently.",91,38_2012,1,1,28409,28502,,"{""Claim"": 19, ""O"": 1}",Claim,"We want to get people out of poverty, in the middle class, onto a life of self-sufficiently.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,1618.4,1623.16,NOT_FOUND
22874,We believe in opportunity and upward mobility.,91,38_2012,2,2,28502,28549,,"{""Premise"": 7, ""O"": 1}",Premise,We believe in opportunity and upward mobility.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1623.16,1624.92,NOT_FOUND
22875,That's what we're going to push for in a Romney administration.,91,38_2012,3,3,28549,28613,,"{""Claim"": 13, ""O"": 1}",Claim,That's what we're going to push for in a Romney administration.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,1624.92,1627.08,NOT_FOUND
22876,"BIDEN: The idea -- if you heard that -- that little soliloquy on 47 percent and you think he just made a mistake, then I think you're -- I -- I think -- I got a bridge to sell you.",93,38_2012,0,0,28692,28873,,"{""O"": 44}",O," The idea -- if you heard that -- that little soliloquy on 47 percent and you think he just made a mistake, then I think you're -- I -- I think -- I got a bridge to sell you.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1630.64,1643.16,NOT_FOUND
22877,"Look, I don't doubt his personal generosity.",93,38_2012,1,1,28873,28918,,"{""O"": 3, ""Claim"": 7}",Claim,"Look, I don't doubt his personal generosity.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,1643.16,1646.56,NOT_FOUND
22878,And I understand what it's like.,93,38_2012,2,2,28918,28951,,"{""O"": 2, ""Claim"": 6}",Claim,And I understand what it's like.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,1646.56,1650.72,NOT_FOUND
22879,"When I was a little younger than the congressman, my wife was in an accident, killed my daughter and my wife, and my two sons survived.",93,38_2012,3,3,28951,29087,,"{""Premise"": 29, ""O"": 1}",Premise,"When I was a little younger than the congressman, my wife was in an accident, killed my daughter and my wife, and my two sons survived.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1650.72,1660.68,NOT_FOUND
22880,"I have sat in the homes of many people who've gone through what I get through, because the one thing you can give people solace is to know if they know you've been through it, that they can make it.",93,38_2012,4,4,29087,29286,,"{""Premise"": 42, ""O"": 3}",Premise,"I have sat in the homes of many people who've gone through what I get through, because the one thing you can give people solace is to know if they know you've been through it, that they can make it.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1660.68,1671.0,NOT_FOUND
22881,So I don't doubt his personal commitment to individuals.,93,38_2012,5,5,29286,29343,,"{""O"": 2, ""Claim"": 9}",Claim,So I don't doubt his personal commitment to individuals.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,1671.0,1675.88,NOT_FOUND
22882,But you know what?,93,38_2012,6,6,29343,29362,,"{""O"": 5}",O,But you know what?,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1675.88,1677.12,NOT_FOUND
22883,I know he had no commitment to the automobile industry.,93,38_2012,7,7,29362,29418,,"{""O"": 11}",O,I know he had no commitment to the automobile industry.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1677.12,1680.28,NOT_FOUND
22884,"He just -- he said, let it go bankrupt, period.",93,38_2012,8,8,29418,29466,,"{""O"": 13}",O,"He just -- he said, let it go bankrupt, period.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1680.28,1683.76,NOT_FOUND
22885,Let it drop out.,93,38_2012,9,9,29466,29483,,"{""O"": 5}",O,Let it drop out.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1683.76,1685.08,NOT_FOUND
22886,All this talk -- we saved a million jobs.,93,38_2012,10,10,29483,29525,,"{""O"": 5, ""Premise"": 5}",O,All this talk -- we saved a million jobs.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,1685.08,1687.32,NOT_FOUND
22887,Two hundred thousand people are working today.,93,38_2012,11,11,29525,29572,,"{""Premise"": 7, ""O"": 1}",Premise,Two hundred thousand people are working today.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1687.32,1690.24,NOT_FOUND
22888,And I've never met two guys who're more down on America across the board.,93,38_2012,12,12,29573,29647,,"{""O"": 2, ""Premise"": 15}",Premise,And I've never met two guys who're more down on America across the board.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1690.24,1693.96,NOT_FOUND
22889,We're told everything's going bad.,93,38_2012,13,13,29647,29682,,"{""O"": 8}",O,We're told everything's going bad.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1693.96,1695.6,NOT_FOUND
22890,"There are 5.2 million new jobs, private-sector jobs.",93,38_2012,14,14,29682,29735,,"{""Premise"": 9, ""O"": 1}",Premise,"There are 5.2 million new jobs, private-sector jobs.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1695.6,1699.8,NOT_FOUND
22891,"We need more, but 5.2 million -- if they'd get out of the way, if they'd get out of the way and let us pass the tax cut for the middle class, make it permanent, if they get out of the way and pass the -- pass the jobs bill, if they get out of the way and let us allow 14 million people who are struggling to stay in their homes because their mortgages are upside down, but they never missed a mortgage payment, just get out of the way.",93,38_2012,15,15,29735,30171,,"{""O"": 101}",O,"We need more, but 5.2 million -- if they'd get out of the way, if they'd get out of the way and let us pass the tax cut for the middle class, make it permanent, if they get out of the way and pass the -- pass the jobs bill, if they get out of the way and let us allow 14 million people who are struggling to stay in their homes because their mortgages are upside down, but they never missed a mortgage payment, just get out of the way.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1699.8,1721.12,NOT_FOUND
22892,Stop talking about how you care about people.,93,38_2012,16,16,30172,30218,,"{""O"": 9}",O,Stop talking about how you care about people.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1721.12,1723.84,NOT_FOUND
22893,Show me something.,93,38_2012,17,17,30218,30237,,"{""O"": 4}",O,Show me something.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1723.84,1725.0,NOT_FOUND
22894,Show me a policy.,93,38_2012,18,18,30237,30255,,"{""O"": 5}",O,Show me a policy.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1725.0,1726.88,NOT_FOUND
22895,Show me a policy where you take responsibility.,93,38_2012,19,19,30255,30303,,"{""O"": 9}",O,Show me a policy where you take responsibility.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1726.88,1730.48,NOT_FOUND
22896,"And, by the way, they talk about this Great Recession if it fell out of the sky, like, ""Oh, my goodness, where did it come from?""",93,38_2012,20,20,30304,30434,,"{""O"": 6, ""Premise"": 29}",Premise,"And, by the way, they talk about this Great Recession if it fell out of the sky, like, ""Oh, my goodness, where did it come from?""",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1730.48,1736.6,NOT_FOUND
22897,"It came from this man voting to put two wars on a credit card, to at the same time put a prescription drug benefit on the credit card, a trillion-dollar tax cut for the very wealthy.",93,38_2012,21,21,30434,30617,,"{""Claim"": 37, ""O"": 2}",Claim,"It came from this man voting to put two wars on a credit card, to at the same time put a prescription drug benefit on the credit card, a trillion-dollar tax cut for the very wealthy.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,1736.6,1748.16,NOT_FOUND
22898,I was there.,93,38_2012,22,22,30617,30630,,"{""Premise"": 3, ""O"": 1}",Premise,I was there.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1748.16,1749.04,NOT_FOUND
22899,I voted against them.,93,38_2012,23,23,30630,30652,,"{""Premise"": 4, ""O"": 1}",Premise,I voted against them.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1749.04,1750.0,NOT_FOUND
22900,"I said, no, we can't afford that.",93,38_2012,24,24,30652,30686,,"{""Premise"": 10, ""O"": 1}",Premise,"I said, no, we can't afford that.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1750.0,1751.84,NOT_FOUND
22901,"And now, all of a sudden, these guys are so seized with the concern about the debt that they created.",93,38_2012,25,25,30687,30789,,"{""O"": 2, ""Premise"": 21}",Premise,"And now, all of a sudden, these guys are so seized with the concern about the debt that they created.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1751.84,1757.96,NOT_FOUND
22902,RYAN: Let's not forget that they came in with one-party control.,95,38_2012,0,0,30819,30884,,"{""O"": 8, ""Claim"": 6}",O, Let's not forget that they came in with one-party control.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Mixed,1759.04,1764.4,NOT_FOUND
22903,"When Barack Obama was elected, his party controlled everything.",95,38_2012,1,1,30884,30948,,"{""Premise"": 10, ""O"": 1}",Premise,"When Barack Obama was elected, his party controlled everything.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1764.4,1768.44,NOT_FOUND
22904,They had the ability to do everything of their choosing.,95,38_2012,2,2,30948,31005,,"{""Premise"": 10, ""O"": 1}",Premise,They had the ability to do everything of their choosing.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1768.44,1770.32,NOT_FOUND
22905,And look at where we are right now.,95,38_2012,3,3,31005,31041,,"{""O"": 2, ""Premise"": 7}",Premise,And look at where we are right now.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1770.32,1771.6,NOT_FOUND
22906,They passed the stimulus.,95,38_2012,4,4,31041,31067,,"{""Premise"": 4, ""O"": 1}",Premise,They passed the stimulus.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1771.6,1774.32,NOT_FOUND
22907,"The idea that we could borrow $831 billion, spend it on all of these special interest groups, and that it would work out just fine, that unemployment would never get to 8 percent -- it went up above 8 percent for 43 months.",95,38_2012,5,5,31067,31291,,"{""Premise"": 47, ""O"": 1}",Premise,"The idea that we could borrow $831 billion, spend it on all of these special interest groups, and that it would work out just fine, that unemployment would never get to 8 percent -- it went up above 8 percent for 43 months.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1774.32,1785.2,NOT_FOUND
22908,"They said that, right now, if we just passed this stimulus, the economy would grow at 4 percent.",95,38_2012,6,6,31291,31388,,"{""Premise"": 21, ""O"": 1}",Premise,"They said that, right now, if we just passed this stimulus, the economy would grow at 4 percent.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1785.2,1789.64,NOT_FOUND
22909,It's growing at 1.3.,95,38_2012,7,7,31388,31409,,"{""Premise"": 6}",Premise,It's growing at 1.3.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1789.64,1791.08,NOT_FOUND
22910,"RYAN: That's what our entire premise of our pro-growth plan for a stronger middle class is all about: getting the economy growing at 4 percent, creating 12 million jobs over the next four years.",97,38_2012,0,0,31460,31655,,"{""O"": 23, ""Claim"": 16}",O," That's what our entire premise of our pro-growth plan for a stronger middle class is all about: getting the economy growing at 4 percent, creating 12 million jobs over the next four years.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Mixed,1793.36,1802.68,NOT_FOUND
22911,Look at just the $90 billion in stimulus.,97,38_2012,1,1,31655,31697,,"{""Premise"": 9, ""O"": 1}",Premise,Look at just the $90 billion in stimulus.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1802.68,1805.4,NOT_FOUND
22912,The vice president was in charge of overseeing this.,97,38_2012,2,2,31697,31750,,"{""Premise"": 9, ""O"": 1}",Premise,The vice president was in charge of overseeing this.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1805.4,1807.56,NOT_FOUND
22913,$90 billion in green pork to campaign contributors and special interest groups.,97,38_2012,3,3,31750,31830,,"{""Claim"": 13, ""O"": 1}",Claim,$90 billion in green pork to campaign contributors and special interest groups.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,1807.56,1812.96,NOT_FOUND
22914,There are just at the Department of Energy over 100 criminal investigations that have been launched into just how stimulus...  (CROSSTALK),97,38_2012,4,4,31830,31969,,"{""O"": 24}",O,There are just at the Department of Energy over 100 criminal investigations that have been launched into just how stimulus...  (CROSSTALK),RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1812.96,1819.52,NOT_FOUND
22915,BIDEN: Martha...,98,38_2012,0,0,31971,31988,,"{""O"": 4}",O, Martha...,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1819.52,1819.52,NOT_FOUND
22916,"BIDEN: Martha, look.",100,38_2012,0,0,32019,32040,,"{""O"": 6}",O," Martha, look.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1820.88,1822.24,NOT_FOUND
22917,His colleague...,100,38_2012,1,1,32040,32057,,"{""Premise"": 2, ""O"": 1}",Premise,His colleague...,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1822.24,1823.12,NOT_FOUND
22918,RYAN: Crony capitalism and corporate welfare.,101,38_2012,0,0,32058,32104,,"{""O"": 8}",O, Crony capitalism and corporate welfare.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1823.12,1824.48,NOT_FOUND
22919,"BIDEN: ... runs an investigative committee, spent months and months and months going into this.",102,38_2012,0,0,32105,32201,,"{""O"": 4, ""Premise"": 14}",Premise," ... runs an investigative committee, spent months and months and months going into this.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1824.48,1828.12,NOT_FOUND
22920,RYAN: This is the -- this is the inspector general.,103,38_2012,0,0,32202,32254,,"{""O"": 12}",O, This is the -- this is the inspector general.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1828.12,1829.04,NOT_FOUND
22921,BIDEN: Months and months.,104,38_2012,0,0,32255,32281,,"{""O"": 3, ""Premise"": 3}",O, Months and months.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,1829.04,1830.12,NOT_FOUND
22922,They found no evidence of cronyism.,104,38_2012,1,1,32281,32317,,"{""Premise"": 6, ""O"": 1}",Premise,They found no evidence of cronyism.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1830.12,1832.96,NOT_FOUND
22923,And I love my friend here.,104,38_2012,2,2,32317,32344,,"{""O"": 7}",O,And I love my friend here.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1832.96,1835.0,NOT_FOUND
22924,"I -- I'm not allowed to show letters but go on our website, he sent me two letters saying, ""By the way, can you send me some stimulus money for companies here in the state of Wisconsin?""",104,38_2012,3,3,32344,32531,,"{""O"": 15, ""Premise"": 29}",Premise,"I -- I'm not allowed to show letters but go on our website, he sent me two letters saying, ""By the way, can you send me some stimulus money for companies here in the state of Wisconsin?""",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1835.0,1846.04,NOT_FOUND
22925,We sent millions of dollars.,104,38_2012,4,4,32531,32560,,"{""Premise"": 5, ""O"": 1}",Premise,We sent millions of dollars.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1846.04,1847.6,NOT_FOUND
22926,You know...  (CROSSTALK),104,38_2012,5,5,32560,32585,,"{""O"": 6}",O,You know...  (CROSSTALK),BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1847.6,1847.92,NOT_FOUND
22927,BIDEN: Sure he did.,106,38_2012,0,0,32638,32658,,"{""O"": 3, ""Claim"": 3}",O, Sure he did.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,1849.68,1850.68,NOT_FOUND
22928,By the way...,106,38_2012,1,1,32658,32672,,"{""O"": 4}",O,By the way...,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1850.68,1851.2,NOT_FOUND
22929,RYAN: On two occasions we -- we -- we advocated for constituents who were applying for grants.,107,38_2012,0,0,32673,32768,,"{""O"": 3, ""Premise"": 16}",Premise, On two occasions we -- we -- we advocated for constituents who were applying for grants.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,1851.2,1855.52,NOT_FOUND
22930,That's what we do.,107,38_2012,1,1,32768,32787,,"{""O"": 6}",O,That's what we do.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1855.52,1856.52,NOT_FOUND
22931,We do that for all constituents who are...,107,38_2012,2,2,32787,32830,,"{""O"": 9}",O,We do that for all constituents who are...,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1856.52,1858.64,NOT_FOUND
22932,"RYAN: Was it a good idea to spend taxpayer dollars on electric cars in Finland, or on windmills in China?",109,38_2012,0,0,33439,33545,,"{""O"": 23}",O," Was it a good idea to spend taxpayer dollars on electric cars in Finland, or on windmills in China?",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1893.48,1900.48,NOT_FOUND
22933,BIDEN: Look...,110,38_2012,0,0,33546,33561,,"{""O"": 4}",O, Look...,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1900.48,1901.0,NOT_FOUND
22934,RYAN: Was it a good idea to borrow all this money from countries like China and spend it on all these various different interest groups?,111,38_2012,0,0,33562,33699,,"{""O"": 27}",O, Was it a good idea to borrow all this money from countries like China and spend it on all these various different interest groups?,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1901.0,1907.16,NOT_FOUND
22935,BIDEN: Let me tell you what was a good idea.,112,38_2012,0,0,33700,33745,,"{""O"": 12}",O, Let me tell you what was a good idea.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1907.16,1908.36,NOT_FOUND
22936,"It was a good idea, Moody's and others said that this was exactly what we needed to stop this from going off the cliff.",112,38_2012,1,1,33745,33865,,"{""Claim"": 5, ""O"": 2, ""Premise"": 20}",Premise,"It was a good idea, Moody's and others said that this was exactly what we needed to stop this from going off the cliff.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,1908.36,1914.16,NOT_FOUND
22937,It set the conditions to be able to grow again.,112,38_2012,2,2,33865,33913,,"{""Premise"": 10, ""O"": 1}",Premise,It set the conditions to be able to grow again.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1914.16,1916.6,NOT_FOUND
22938,"We have, in fact, 4 percent of those green jobs didn't go under -- went under, didn't work.",112,38_2012,3,3,33913,34005,,"{""Premise"": 23, ""O"": 1}",Premise,"We have, in fact, 4 percent of those green jobs didn't go under -- went under, didn't work.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1916.6,1923.0,NOT_FOUND
22939,It's a better batting average than investment bankers have.,112,38_2012,4,4,34005,34065,,"{""Claim"": 10, ""O"": 1}",Claim,It's a better batting average than investment bankers have.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,1923.0,1925.2,NOT_FOUND
22940,They have about a 40 percent...,112,38_2012,5,5,34065,34097,,"{""Premise"": 6, ""O"": 1}",Premise,They have about a 40 percent...,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,1925.2,1926.68,NOT_FOUND
22941,RYAN: Where are the 5 million green jobs that were being...,113,38_2012,0,0,34098,34158,,"{""O"": 13}",O, Where are the 5 million green jobs that were being...,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1926.68,1929.08,NOT_FOUND
22942,"BIDEN: By the way, any letter you send me, I'll entertain.",115,38_2012,0,0,34265,34324,,"{""O"": 16}",O," By the way, any letter you send me, I'll entertain.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,1935.36,1938.04,NOT_FOUND
22943,"RYAN: I appreciate that, Joe.",116,38_2012,0,0,34325,34355,,"{""O"": 8}",O," I appreciate that, Joe.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1938.04,1939.28,NOT_FOUND
22944,(LAUGHTER),116,38_2012,1,1,34355,34366,,"{""O"": 3}",O,(LAUGHTER),RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,1939.28,1940.12,NOT_FOUND
22945,RYAN: Absolutely.,118,38_2012,0,0,34633,34651,,"{""O"": 3, ""Claim"": 1}",O, Absolutely.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,2351.64,2352.48,NOT_FOUND
